asv	sequencing_depth	species	samples	cultures	single_or_multiple_cultures	name
ASV_142	54	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_142
ASV_143	53	Archaeospora_schenckii|undecided	38|74	CL401|SMB_6	Multi	Archaeospora_schenckii|undecided_CL401|SMB_6_ASV_143
ASV_144	52	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_144
ASV_145	51	Ambispora_gerdemannii	8	MT106	Single	Ambispora_gerdemannii_MT106_ASV_145
ASV_146	51	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_146
ASV_147	51	Dentiscutata_heterogama	44	FL728	Single	Dentiscutata_heterogama_FL728_ASV_147
ASV_148	51	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_148
ASV_149	50	Funneliformis_coronatus	15	MR101	Single	Funneliformis_coronatus_MR101_ASV_149
ASV_150	49	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_150
ASV_151	49	Archaeospora_schenckii	38	CL401	Single	Archaeospora_schenckii_CL401_ASV_151
ASV_152	48	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_152
ASV_153	46	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_153
ASV_154	46	NA_NA	117	Field_DP16	Single	NA_NA_Field_DP16_ASV_154
ASV_155	46	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_155
ASV_156	45	Rhizophagus_sinuosus	7	MD126	Single	Rhizophagus_sinuosus_MD126_ASV_156
ASV_157	44	Ambispora_gerdemannii	8	MT106	Single	Ambispora_gerdemannii_MT106_ASV_157
ASV_158	44	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_158
ASV_159	43	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_159
ASV_160	42	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_160
ASV_161	42	Gigaspora_margarita	5	NC114B	Single	Gigaspora_margarita_NC114B_ASV_161
ASV_162	42	Gigaspora_rosea	20|62	FL105_11|BR155B	Multi	Gigaspora_rosea_FL105_11|BR155B_ASV_162
ASV_163	42	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_163
ASV_164	41	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_164
ASV_165	41	Gigaspora_decipiens|unknown	70|89	AU102_9|JAY1	Multi	Gigaspora_decipiens|unknown_AU102_9|JAY1_ASV_165
ASV_166	40	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_166
ASV_167	39	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_167
ASV_168	38	Funneliformis_mosseae	46	87_11	Single	Funneliformis_mosseae_87_11_ASV_168
ASV_169	38	Gigaspora_rosea	62	BR155B	Single	Gigaspora_rosea_BR155B_ASV_169
ASV_170	37	Rhizophagus_sinuosus	7	MD126	Single	Rhizophagus_sinuosus_MD126_ASV_170
ASV_171	37	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_171
ASV_172	36	Multiple_species	15|24	MR101|FL328	Multi	Multiple_species_MR101|FL328_ASV_172
ASV_173	36	NA_NA	118	Field_MB24	Single	NA_NA_Field_MB24_ASV_173
ASV_174	34	Ambispora_leptoticha	11	MX982A	Single	Ambispora_leptoticha_MX982A_ASV_174
ASV_175	34	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_175
ASV_176	34	Archaeospora_schenckii	38	CL401	Single	Archaeospora_schenckii_CL401_ASV_176
ASV_177	33	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_177
ASV_178	32	Ambispora_leptoticha	11	MX982A	Single	Ambispora_leptoticha_MX982A_ASV_178
ASV_179	32	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_179
ASV_180	31	Racocetra_gregaria	10	NC210	Single	Racocetra_gregaria_NC210_ASV_180
ASV_181	30	Ambispora_leptoticha	11	MX982A	Single	Ambispora_leptoticha_MX982A_ASV_181
ASV_182	30	Archaeospora_trappei	61	SF124_22	Single	Archaeospora_trappei_SF124_22_ASV_182
ASV_183	29	Gigaspora_margarita	58	120_7A	Single	Gigaspora_margarita_120_7A_ASV_183
ASV_184	28	Racocetra_gregaria	10	NC210	Single	Racocetra_gregaria_NC210_ASV_184
ASV_185	28	Gigaspora_rosea	20	FL105_11	Single	Gigaspora_rosea_FL105_11_ASV_185
ASV_186	27	Multiple_species	18|38	CA203|CL401	Multi	Multiple_species_CA203|CL401_ASV_186
ASV_187	26	Rhizophagus_sinuosus	7	MD126	Single	Rhizophagus_sinuosus_MD126_ASV_187
ASV_188	26	NA_NA	117	Field_DP16	Single	NA_NA_Field_DP16_ASV_188
ASV_189	26	Dentiscutata_heterogama	78	FL225_25	Single	Dentiscutata_heterogama_FL225_25_ASV_189
ASV_190	25	Multiple_species	14|82	NB103A|KS890	Multi	Multiple_species_NB103A|KS890_ASV_190
ASV_191	25	NA_NA	117	Field_DP16	Single	NA_NA_Field_DP16_ASV_191
ASV_192	24	Rhizophagus_sinuosus	7	MD126	Single	Rhizophagus_sinuosus_MD126_ASV_192
ASV_193	24	NA_NA	117	Field_DP16	Single	NA_NA_Field_DP16_ASV_193
ASV_194	24	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_194
ASV_195	24	Diversispora_trimurales?	14	NB103A	Single	Diversispora_trimurales?_NB103A_ASV_195
ASV_196	24	NA_NA	118	Field_MB24	Single	NA_NA_Field_MB24_ASV_196
ASV_197	23	Septoglomus_constrictum	82	KS890	Single	Septoglomus_constrictum_KS890_ASV_197
ASV_198	23	NA_NA	117	Field_DP16	Single	NA_NA_Field_DP16_ASV_198
ASV_199	22	Gigaspora_gigantea	80	KS302	Single	Gigaspora_gigantea_KS302_ASV_199
ASV_200	22	Rhizophagus_sinuosus	7	MD126	Single	Rhizophagus_sinuosus_MD126_ASV_200
